"Contact", "Col: 2"
"Alejandra Camino", "12.69"
"Alejandra Camino", "2.94"
"Alejandra Camino", "32.99"
"Alejandra Camino", "7.56"
"Alejandra Camino", "8.29"
"Alexander Feuer", "0.58"
"Alexander Feuer", "10.22"
"Alexander Feuer", "125.77"
"Alexander Feuer", "127.34"
"Alexander Feuer", "58.13"
"Ana Trujillo", "1.61"
"Ana Trujillo", "11.99"
"Ana Trujillo", "39.92"
"Ana Trujillo", "43.9"
"Anabela Domingues", "1.35"
"Anabela Domingues", "29.78"
"Anabela Domingues", "35.43"
"Anabela Domingues", "46.77"
"Anabela Domingues", "79.4"
"Anabela Domingues", "81.83"
"André Fonseca", "1.63"
"André Fonseca", "210.8"
"André Fonseca", "24.5"
"André Fonseca", "28.23"
"André Fonseca", "3.01"
"André Fonseca", "33.75"
"André Fonseca", "4.98"
"André Fonseca", "7.14"
"André Fonseca", "8.34"
"Ann Devon", "16.56"
"Ann Devon", "185.48"
"Ann Devon", "278.96"
"Ann Devon", "46.62"
"Ann Devon", "71.97"
"Ann Devon", "74.36"
"Ann Devon", "74.46"
"Ann Devon", "83.93"
"Annette Roulet", "0.45"
"Annette Roulet", "0.87"
"Annette Roulet", "10.64"
"Annette Roulet", "19.64"
"Annette Roulet", "2.74"
"Annette Roulet", "2.79"
"Annette Roulet", "249.93"
"Annette Roulet", "26.78"
"Annette Roulet", "42.68"
"Annette Roulet", "43.26"
"Annette Roulet", "64.19"
"Annette Roulet", "68.26"
"Annette Roulet", "7.93"
"Annette Roulet", "95.66"
"Antonio Moreno", "15.64"
"Antonio Moreno", "22"
"Antonio Moreno", "36.13"
"Antonio Moreno", "4.03"
"Antonio Moreno", "47.45"
"Antonio Moreno", "58.43"
"Antonio Moreno", "84.84"
"Aria Cruz", "10.83"
"Aria Cruz", "13.99"
"Aria Cruz", "176.81"
"Aria Cruz", "21.48"
"Aria Cruz", "3.01"
"Aria Cruz", "3.1"
"Aria Cruz", "3.53"
"Art Braunschweiger", "12.96"
"Art Braunschweiger", "191.67"
"Art Braunschweiger", "195.68"
"Art Braunschweiger", "30.96"
"Art Braunschweiger", "36.68"
"Art Braunschweiger", "4.34"
"Art Braunschweiger", "4.54"
"Art Braunschweiger", "73.21"
"Art Braunschweiger", "8.63"
"Bernardo Batista", "21.49"
"Bernardo Batista", "3.05"
"Bernardo Batista", "34.76"
"Bernardo Batista", "45.03"
"Bernardo Batista", "45.54"
"Bernardo Batista", "6.4"
"Bernardo Batista", "62.52"
"Bernardo Batista", "9.53"
"Bernardo Batista", "99.23"
"Carine Schmitt", "121.82"
"Carine Schmitt", "19.26"
"Carine Schmitt", "30.34"
"Carlos González", "0.12"
"Carlos González", "0.93"
"Carlos González", "1.21"
"Carlos González", "102.02"
"Carlos González", "12.75"
"Carlos González", "12.91"
"Carlos González", "148.61"
"Carlos González", "163.97"
"Carlos González", "34.88"
"Carlos González", "42.13"
"Carlos González", "48.17"
"Carlos González", "7.99"
"Carlos González", "73.91"
"Carlos González", "84.81"
"Carlos Hernández", "105.36"
"Carlos Hernández", "120.92"
"Carlos Hernández", "179.61"
"Carlos Hernández", "184.41"
"Carlos Hernández", "2.08"
"Carlos Hernández", "210.19"
"Carlos Hernández", "26.52"
"Carlos Hernández", "29.75"
"Carlos Hernández", "3.52"
"Carlos Hernández", "30.26"
"Carlos Hernández", "30.53"
"Carlos Hernández", "37.97"
"Carlos Hernández", "4.41"
"Carlos Hernández", "58.3"
"Carlos Hernández", "62.09"
"Carlos Hernández", "8.11"
"Carlos Hernández", "81.91"
"Carlos Hernández", "83.22"
"Catherine Dewey", "120.27"
"Catherine Dewey", "155.64"
"Catherine Dewey", "32.45"
"Catherine Dewey", "32.82"
"Catherine Dewey", "44.84"
"Catherine Dewey", "6.2"
"Catherine Dewey", "66.69"
"Christina Berglund", "109.11"
"Christina Berglund", "110.11"
"Christina Berglund", "116.43"
"Christina Berglund", "13.32"
"Christina Berglund", "13.42"
"Christina Berglund", "138.69"
"Christina Berglund", "151.52"
"Christina Berglund", "168.64"
"Christina Berglund", "188.85"
"Christina Berglund", "244.79"
"Christina Berglund", "3.5"
"Christina Berglund", "32.37"
"Christina Berglund", "55.26"
"Christina Berglund", "6.79"
"Christina Berglund", "8.98"
"Christina Berglund", "9.3"
"Christina Berglund", "92.69"
"Christina Berglund", "95.75"
"Daniel Tonini", "0.02"
"Daniel Tonini", "15.17"
"Daniel Tonini", "19.79"
"Daniel Tonini", "52.51"
"Dominique Perrier", "2.91"
"Dominique Perrier", "8.8"
"Dominique Perrier", "87.38"
"Dominique Perrier", "9.19"
"Eduardo Saavedra", "1.25"
"Eduardo Saavedra", "1.36"
"Eduardo Saavedra", "10.14"
"Eduardo Saavedra", "18.69"
"Eduardo Saavedra", "6.54"
"Elizabeth Brown", "38.24"
"Elizabeth Brown", "6.17"
"Elizabeth Brown", "9.21"
"Elizabeth Lincoln", "14.01"
"Elizabeth Lincoln", "2.4"
"Elizabeth Lincoln", "23.65"
"Elizabeth Lincoln", "24.12"
"Elizabeth Lincoln", "243.73"
"Elizabeth Lincoln", "32.27"
"Elizabeth Lincoln", "44.17"
"Elizabeth Lincoln", "47.42"
"Elizabeth Lincoln", "48.83"
"Elizabeth Lincoln", "52.52"
"Elizabeth Lincoln", "52.92"
"Elizabeth Lincoln", "62.89"
"Elizabeth Lincoln", "70.58"
"Elizabeth Lincoln", "74.44"
"Felipe Izquierdo", "141.06"
"Felipe Izquierdo", "158.44"
"Felipe Izquierdo", "19.8"
"Felipe Izquierdo", "2.71"
"Felipe Izquierdo", "23.6"
"Felipe Izquierdo", "27.91"
"Felipe Izquierdo", "31.22"
"Felipe Izquierdo", "34.82"
"Felipe Izquierdo", "45.52"
"Felipe Izquierdo", "59.28"
"Felipe Izquierdo", "64.45"
"Felipe Izquierdo", "65"
"Fran Wilson", "0.53"
"Fran Wilson", "0.56"
"Fran Wilson", "1.28"
"Fran Wilson", "1.93"
"Fran Wilson", "11.65"
"Fran Wilson", "12.69"
"Fran Wilson", "24.91"
"Fran Wilson", "26.31"
"Francisco Chang", "3.25"
"Frédérique Citeaux", "131.7"
"Frédérique Citeaux", "156.66"
"Frédérique Citeaux", "27.94"
"Frédérique Citeaux", "30.36"
"Frédérique Citeaux", "5.74"
"Frédérique Citeaux", "53.3"
"Frédérique Citeaux", "55.28"
"Frédérique Citeaux", "59.14"
"Frédérique Citeaux", "7.09"
"Frédérique Citeaux", "8.05"
"Frédérique Citeaux", "88.4"
"Georg Pipps", "117.33"
"Georg Pipps", "122.46"
"Georg Pipps", "25.22"
"Georg Pipps", "31.29"
"Georg Pipps", "339.22"
"Georg Pipps", "35.12"
"Georg Pipps", "360.63"
"Georg Pipps", "5.29"
"Georg Pipps", "53.05"
"Georg Pipps", "96.5"
"Giovanni Rovelli", "155.97"
"Giovanni Rovelli", "17.68"
"Giovanni Rovelli", "2.38"
"Giovanni Rovelli", "2.5"
"Giovanni Rovelli", "26.93"
"Giovanni Rovelli", "4.93"
"Giovanni Rovelli", "47.46"
"Giovanni Rovelli", "65.48"
"Giovanni Rovelli", "70.09"
"Giovanni Rovelli", "76.33"
"Guillermo Fernández", "0.4"
"Guillermo Fernández", "24.95"
"Guillermo Fernández", "46"
"Guillermo Fernández", "53.8"
"Guillermo Fernández", "69.32"
"Guillermo Fernández", "83.49"
"Hanna Moos", "0.15"
"Hanna Moos", "1.93"
"Hanna Moos", "27.71"
"Hanna Moos", "31.14"
"Hanna Moos", "44.65"
"Hanna Moos", "53.83"
"Hanna Moos", "8.85"
"Hari Kumar", "137.44"
"Hari Kumar", "143.28"
"Hari Kumar", "178.43"
